Title,Price,Location,Area,Beds,Baths,Link
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,PKR 1.8 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52820731-1466-1.html
1 KANAL BRAND NEW EYE CATCHING ULTRA MODERN BUNGALOW FOR SALE NEAR TO RAYA IN LOW PRICE,PKR 6.5 Crore,"DHA Phase 7 - Block Y, DHA Phase 7",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_1_kanal_brand_new_eye_catching_ultra_modern_bungalow_for_sale_near_to_raya_in_low_price-52628721-1632-1.html
Brand New 5 Marla House Available In Park View City,PKR 1.65 Crore,"Park View City, Lahore",5 Marla,4,4,https://www.zameen.com/Property/lahore_park_view_city_brand_new_5_marla_house_available_in_park_view_city-52446855-1466-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,PKR 1.65 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52835353-1466-1.html
5 Marla Brand New A Plus Solid Constructed house For Sale And Direct Meeting With Owner In Park View City Lahore.,PKR 1.65 Crore,"Park View City, Lahore",5 Marla,4,4,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_a_plus_solid_constructed_house_for_sale_and_direct_meeting_with_owner_in_park_view_city_lahore-52878155-1466-1.html
7 Marla Ultra Modern House Available For Sale In Lake City Sector M7A,PKR 3.7 Crore,"Lake City - Sector M7 - Block A, Lake City - Sector M-7",7 Marla,6,6,https://www.zameen.com/Property/lake_city_sector_m_7_lake_city_-_sector_m7_-_block_a_7_marla_ultra_modern_house_available_for_sale_in_lake_city_sector_m7a-52456637-9374-1.html
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,PKR 1.7 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_5_marla_brand_new_house_for_sale_in_park_view_city-52868184-1466-1.html
5 Marla Brand New House For Sale Direct Meeting With Owner In Parkview City Lahore,PKR 1.7 Crore,"Park View City, Lahore",5 Marla,4,4,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_house_for_sale_direct_meeting_with_owner_in_parkview_city_lahore-52996383-1466-1.html
House For Sale,PKR 2 Crore,"Allama Iqbal Town - Khyber Block, Allama Iqbal Town",5 Marla,5,4,https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_-_khyber_block_house_for_sale-52381910-3530-1.html
4 Marla Brand New House For Sale   Al Rehman Garden Phase 2,PKR 1.7 Crore,"Al Rehman Garden Phase 2, Al Rehman Garden",4 Marla,3,4,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_4_marla_brand_new_house_for_sale_al_rehman_garden_phase_2-52996398-4506-1.html
1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa With Basement For Sale In DHA Lahore Phase 6 Prime Location,PKR 9.75 Crore,"DHA Phase 6 - Block D, DHA Phase 6",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_d_1_kanal_top_quality_build_luxurious_beautiful_modern_design_villa_with_basement_for_sale_in_dha_lahore_phase_6_prime_location-52291770-1613-1.html
5 Marla Brand New A Plus Solid Constructed House For Sale And Direct Meeting With Owner In Park View City Lahore,PKR 1.9 Crore,"Park View City, Lahore",5 Marla,4,4,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_a_plus_solid_constructed_house_for_sale_and_direct_meeting_with_owner_in_park_view_city_lahore-52874263-1466-1.html
5 Marla Luxuary House On 5 Years Installment,PKR 1.45 Crore,"Bahria Orchard Phase 2, Bahria Orchard",5 Marla,3,4,https://www.zameen.com/Property/bahria_orchard_bahria_orchard_phase_2_5_marla_luxuary_house_on_5_years_installment-52950350-8236-1.html
1 Year Used House Is For Sale,PKR 2.1 Crore,"Bahria Town - Shershah Block, Bahria Town - Sector F",5 Marla,3,4,https://www.zameen.com/Property/bahria_town_sector_f_bahria_town_-_shershah_block_1_year_used_house_is_for_sale-52996524-8397-1.html
1 KANAL BANGLO IN BANKERS AVENUE BEDIAN ROAD,PKR 4.25 Crore,"Bedian Road, Lahore",1 Kanal,5,5,https://www.zameen.com/Property/lahore_bedian_road_1_kanal_banglo_in_bankers_avenue_bedian_road-52929960-378-1.html
Just 80 Lac Double Story House,PKR 80 Lakh,"Bedian Road, Lahore",2 Marla,3,4,https://www.zameen.com/Property/lahore_bedian_road_just_80_lac_double_story_house-52905268-378-1.html
5 Marla Brand New Spanish Style Luxury House For Sale In Park View City Lahore,PKR 1.6 Crore,"Park View City - Platinum Block, Park View City",5 Marla,4,4,https://www.zameen.com/Property/park_view_city_park_view_city_-_platinum_block_5_marla_brand_new_spanish_style_luxury_house_for_sale_in_park_view_city_lahore-50068061-16617-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,PKR 1.75 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52594605-1466-1.html
5 Marla Brand New House For Sale,PKR 1.65 Crore,"Bahria Orchard, Lahore",5 Marla,3,3,https://www.zameen.com/Property/lahore_bahria_orchard_5_marla_brand_new_house_for_sale-52762640-1474-1.html
3 Years Installment Plan Luxury 10 Marla Brand New House In Park View City Lahore,PKR 3.2 Crore,"Park View City, Lahore",10 Marla,5,6,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_10_marla_brand_new_house_in_park_view_city_lahore-52598516-1466-1.html
First Floor Apartment For Sale,PKR 1.25 Crore,"Bahria Orchard Phase 1 - Eastern, Bahria Orchard Phase 1",6.4 Marla,3,3,https://www.zameen.com/Property/bahria_orchard_phase_1_bahria_orchard_phase_1_-_eastern_first_floor_apartment_for_sale-52750067-8239-1.html
First Floor Furnished Apartment In D Block Wami Villas,PKR 62 Lakh,"Awami Villas - Block D, Awami Villas",5 Marla,2,1,https://www.zameen.com/Property/awami_villas_awami_villas_-_block_d_first_floor_furnished_apartment_in_d_block_wami_villas-52873495-15708-1.html
2 Bedroom Apartment,PKR 1.25 Crore,"Bahria Orchard Phase 1 - Eastern, Bahria Orchard Phase 1",6.5 Marla,2,2,https://www.zameen.com/Property/bahria_orchard_phase_1_bahria_orchard_phase_1_-_eastern_2_bedroom_apartment-52744084-8239-1.html
5 MARLA CHEAPEST HOUSE FOR SALE IN C BLOCK,PKR 1.8 Crore,"Bahria Orchard Phase 2, Bahria Orchard",5 Marla,3,4,https://www.zameen.com/Property/bahria_orchard_bahria_orchard_phase_2_5_marla_cheapest_house_for_sale_in_c_block-52491897-8236-1.html
5 MARLA CHEAPEST HOUSE FOR SALE,PKR 1.95 Crore,"Bahria Orchard Phase 2, Bahria Orchard",10 Marla,3,4,https://www.zameen.com/Property/bahria_orchard_bahria_orchard_phase_2_5_marla_cheapest_house_for_sale-52574314-8236-1.html
Ultra Luxury Design 10 Marla Brand New Villa For Sale In Near Defence Raya Fair Ways,PKR 3.99 Crore,"DHA Phase 7, DHA Defence",10 Marla,4,5,https://www.zameen.com/Property/dha_defence_dha_phase_7_ultra_luxury_design_10_marla_brand_new_villa_for_sale_in_near_defence_raya_fair_ways-52502505-1450-1.html
10 MARLA DOUBLE HIGHT LOBBY HOUSE FOR SALE IN JASMINE BLOCK SECTOR C BAHRIA TOWN LAHORE,PKR 4 Crore,"Bahria Town - Jasmine Block, Bahria Town - Sector C",10 Marla,5,6,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_jasmine_block_10_marla_double_hight_lobby_house_for_sale_in_jasmine_block_sector_c_bahria_town_lahore-51007833-1786-1.html
One Kanal Outstanding Luxuries Bungalows For Sale At Prime Location Facing 70 Feet Road,PKR 7.35 Crore,"DHA Phase 7 - Block S, DHA Phase 7",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_s_one_kanal_outstanding_luxuries_bungalows_for_sale_at_prime_location_facing_70_feet_road-52093199-1626-1.html
House For Sale Dha 9 Town Descent Location Perfect Your Dream,PKR 2.1 Crore,"DHA 9 Town, DHA Defence",5 Marla,3,4,https://www.zameen.com/Property/dha_defence_dha_9_town_house_for_sale_dha_9_town_descent_location_perfect_your_dream-52889188-1452-1.html
6 MARLA BRAND NEW ULTRA MODREN HOUSE FOR SALE AL REHMAN GARDEN PHASE 2,PKR 2.5 Crore,"Al Rehman Garden Phase 2, Al Rehman Garden",6 Marla,6,6,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_6_marla_brand_new_ultra_modren_house_for_sale_al_rehman_garden_phase_2-52984090-4506-1.html
"10 Marla Brand New Luxury Modern House For Sale In Architect Engineers Society Prime Location Near UCP University, Abdul Sattar Eidi Road, Shaukat Khanum Hospital, Emporium Mall, Expo Centre",PKR 4.15 Crore,"Architects Engineers Housing Society, Lahore",10 Marla,5,7,https://www.zameen.com/Property/lahore_architects_engineers_housing_society_10_marla_brand_new_luxury_modern_house_for_sale_in_architect_engineers_society_prime_location_near_ucp_university_abdul_sattar_eidi_road_shaukat_khanum_hospital_emporium_mall_expo_centre-52938402-1242-1.html
Toper Builder Rayan Construction Fully Modern Furnished Bungalow For Sale At Hot Location Near Mosque and Walking Distance Defense Raya,PKR 9.21 Crore,"DHA Phase 6 - Block B, DHA Phase 6",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_b_toper_builder_rayan_construction_fully_modern_furnished_bungalow_for_sale_at_hot_location_near_mosque_and_walking_distance_defense_raya-52996165-1611-1.html
5 Marla House single story 40 feet road,PKR 70 Lakh,"Elite Town, Lahore",5 Marla,2,3,https://www.zameen.com/Property/lahore_elite_town_5_marla_house_single_story_40_feet_road-52996281-1291-1.html
3 Marla 1.5 Storey 4 Bedroom 3 Bathroom Electricity Meter Near DHA Phase 10,PKR 45 Lakh,"Al Noor Park Housing - Block B, Al Noor Park Housing Society",3 Marla,4,3,https://www.zameen.com/Property/al_noor_park_housing_society_al_noor_park_housing_-_block_b_3_marla_1_5_storey_4_bedroom_3_bathroom_electricity_meter_near_dha_phase_10-52927112-18111-1.html
100% ORIGINAL PICTURES 01 KANAL MAGNIFICENT MODERN BUNGALOW FOR SALE,PKR 7.35 Crore,"DHA Phase 7, DHA Defence",1 Kanal,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_7_100_original_pictures_01_kanal_magnificent_modern_bungalow_for_sale-52884285-1450-1.html
5 Marla Brand New House For Sale In Block AA Bahria Town Lahore,PKR 2.25 Crore,"Bahria Town - Block AA, Bahria Town - Sector D",5 Marla,3,5,https://www.zameen.com/Property/bahria_town_sector_d_bahria_town_-_block_aa_5_marla_brand_new_house_for_sale_in_block_aa_bahria_town_lahore-52572349-1797-1.html
8 Marla House For Sale In Usman Block Bahria Town Lahore,PKR 3.15 Crore,"Bahria Town - Usman Block, Bahria Town - Sector B",8 Marla,5,6,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_usman_block_8_marla_house_for_sale_in_usman_block_bahria_town_lahore-48920786-1780-1.html
1 Kanal LDA Approved Farm House For Sale In Chinar Bagh,PKR 1.6 Crore,"Chinar Bagh, Lahore",1 Kanal,1,1,https://www.zameen.com/Property/lahore_chinar_bagh_1_kanal_lda_approved_farm_house_for_sale_in_chinar_bagh-52996433-763-1.html
3 MARLA BRNAD NEW HOUSE FOR SALE IN AL-REHMAN GARDEN PHASE 2,PKR 1.3 Crore,"Al Rehman Garden Phase 2, Al Rehman Garden",3 Marla,3,4,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_3_marla_brnad_new_house_for_sale_in_al-rehman_garden_phase_2-52839517-4506-1.html
3 MARLA BRAND NEW DUPLEX HOUSE FOR SALE,PKR 1.35 Crore,"Al Rehman Garden Phase 2, Al Rehman Garden",3 Marla,3,4,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_3_marla_brand_new_duplex_house_for_sale-52880139-4506-1.html
3 MARLA BRAND NEW HOUSE AL - REHMAN GARDEN PHASE - 2,PKR 1.4 Crore,"Al Rehman Garden Phase 2, Al Rehman Garden",3 Marla,3,4,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_3_marla_brand_new_house_al_-_rehman_garden_phase_-_2-52234094-4506-1.html
